,skill_consistency,skill_audacity,skill_unpredictability,skill_clutch,skill_chase_iq,skill_pace_killer,skill_spin_killer,skill_hard_hitting
CR Woakes,0.7464101356882298,0.12987012987012986,1.6840413732222306,110.63829787234043,103.57142857142858,117.64705882352942,65.21739130434783,6.233766233766234
CRD Fernando,0.0,0.0,0.0,133.33333333333331,133.33333333333331,133.33333333333331,0.0,0.0
CV Varun,0.5300997983724692,0.04,1.2522544773348618,62.5,55.00000000000001,50.0,63.1578947368421,0.0
D Brevis,1.0737868452334947,0.6770491803278689,1.9495870004530116,262.5,146.9512195121951,146.8253968253968,150.43478260869566,14.754098360655737
D Ferreira,0.0,0.0,1.4315602842833157,50.0,33.33333333333333,75.0,50.0,0.0
D Kalyankrishna,0.0,0.0,0.0,37.5,0.0,37.5,0.0,0.0
D Padikkal,0.8800212014021516,0.22225935828877005,1.8601737857846736,133.33333333333331,120.78152753108348,123.89189189189189,118.4265010351967,8.877005347593583
D Pretorius,0.7342100367608853,0.26785714285714285,2.023485746983526,154.54545454545453,162.96296296296296,152.63157894736844,166.66666666666669,15.0
D Salunkhe,0.0,0.25,1.8291722720787553,147.05882352941177,175.0,131.25,150.0,0.0
D Wiese,0.9025811205223804,0.23809523809523808,1.902451269584997,151.38888888888889,133.33333333333331,141.57303370786516,137.5,11.238095238095239
D du Preez,0.0,0.0,1.4604846813131116,60.0,0.0,66.66666666666666,66.66666666666666,0.0
DA Miller,0.9191059429226797,0.24793028322440086,1.931387284675601,167.61453396524487,137.46081504702195,139.38193343898573,127.04741379310344,9.847494553376906
DA Warner,0.9698122140779383,0.2734584450402145,1.9883575349711369,174.36974789915968,137.16075156576198,134.34782608695653,136.99943598420757,10.336151783872962
DAJ Bracewell,0.0,0.1111111111111111,0.0,133.33333333333331,133.33333333333331,142.85714285714286,100.0,0.0
DB Das,0.9211804019279993,0.21348314606741572,1.7927202109265694,126.19047619047619,118.8118811881188,92.36111111111111,141.75824175824175,9.438202247191011
DB Ravi Teja,0.818374965170092,0.19846153846153847,1.8394249632013604,134.06593406593404,104.9645390070922,112.95336787564767,119.76744186046511,7.0769230769230775
DE Bollinger,0.0,0.10869565217391304,1.6286457465791397,91.30434782608695,0.0,90.9090909090909,91.66666666666666,6.08695652173913
DG Nalkande,0.0,0.125,1.3250112108241772,0.0,100.0,0.0,57.14285714285714,5.0
DH Yagnik,0.8250698495377331,0.24647887323943662,1.843614476840253,129.5774647887324,84.21052631578947,132.89473684210526,104.54545454545455,7.887323943661972
DJ Bravo,0.751152073641788,0.23255813953488372,1.9513875191730328,180.18018018018017,118.16666666666666,135.08541392904075,106.12745098039215,9.141940657578187
DJ Harris,0.0,0.24271844660194175,1.6908572304685308,0.0,102.27272727272727,100.0,121.42857142857142,9.12621359223301
